,r2
571,-0.0019139503054767712
572,-3.140098649670941e-05
573,-7.435485921693566e-05
574,-7.435485921693566e-05
575,-7.435485921693566e-05
576,-9.308945548788597e-06
577,-7.435485921693566e-05
578,-7.435485921693566e-05
579,-7.435485921693566e-05
580,-3.140098649670941e-05
581,-7.435485921693566e-05
582,-0.0019139503054767712
583,-0.0019139503054767712
584,-0.00024987854710822204
585,-7.435485921693566e-05
586,-0.0019139503054767712
587,-7.435485921693566e-05
588,-3.140098649670941e-05
589,-7.435485921693566e-05
590,-0.0019139503054767712
591,-7.435485921693566e-05
592,-0.00024987854710822204
593,-0.0019139503054767712
594,-0.0019139503054767712
595,-0.0019139503054767712
596,
597,-0.0019139503054767712
598,-0.0019139503054767712
599,-7.435485921693566e-05
600,-0.00024987854710822204
601,-0.0019139503054767712
602,-0.0019139503054767712
603,-7.435485921693566e-05
604,-3.140098649670941e-05
605,-0.0019139503054767712
606,-7.435485921693566e-05
607,-0.0019139503054767712
608,-0.00024987854710822204
609,-0.0019139503054767712
610,-7.435485921693566e-05
611,-7.435485921693566e-05
612,-3.140098649670941e-05
613,-0.0019139503054767712
614,-7.435485921693566e-05
615,-7.435485921693566e-05
616,-0.00024987854710822204
617,-0.0019139503054767712
618,-0.0019139503054767712
619,-0.0019139503054767712
620,
621,-0.0019139503054767712
622,-0.0019139503054767712
623,-7.435485921693566e-05
624,-0.00024987854710822204
625,-0.0019139503054767712
626,-0.0019139503054767712
627,-0.0019139503054767712
628,-0.0019139503054767712
629,-0.0019139503054767712
630,-0.00024987854710822204
631,-7.435485921693566e-05
632,-7.435485921693566e-05
633,-0.0019139503054767712
634,-3.140098649670941e-05
635,-7.435485921693566e-05
636,-7.435485921693566e-05
637,-0.0019139503054767712
638,-0.00024987854710822204
639,-0.0019139503054767712
640,-7.435485921693566e-05
641,-0.0019139503054767712
642,-3.140098649670941e-05
643,-7.435485921693566e-05
644,-0.0019139503054767712
645,-0.0019139503054767712
646,-0.00024987854710822204
647,-7.435485921693566e-05
648,-0.0019139503054767712
649,-0.0019139503054767712
650,
651,-0.0019139503054767712
652,-0.0019139503054767712
653,-0.0019139503054767712
654,-0.00024987854710822204
655,-7.435485921693566e-05
656,-0.0019139503054767712
657,-7.435485921693566e-05
658,-3.140098649670941e-05
659,-7.435485921693566e-05
660,-0.0019139503054767712
661,-7.435485921693566e-05
662,-0.00024987854710822204
663,-0.0019139503054767712
664,-0.0019139503054767712
665,-7.435485921693566e-05
666,-3.140098649670941e-05
667,-7.435485921693566e-05
668,-7.435485921693566e-05
669,-7.435485921693566e-05
670,-9.308945548788597e-06
671,-7.435485921693566e-05
672,-7.435485921693566e-05
673,-7.435485921693566e-05
674,-3.140098649670941e-05
675,-0.0019139503054767712
676,-7.435485921693566e-05
677,-7.435485921693566e-05
678,-9.308945548788597e-06
679,-7.435485921693566e-05
680,-0.0019139503054767712
681,-7.435485921693566e-05
682,-3.140098649670941e-05
683,-7.435485921693566e-05
684,-0.0019139503054767712
685,-7.435485921693566e-05
686,-0.00024987854710822204
687,-0.0019139503054767712
688,-0.0019139503054767712
689,-7.435485921693566e-05
690,-3.140098649670941e-05
691,-7.435485921693566e-05
692,-0.0019139503054767712
693,-0.0019139503054767712
694,-0.00024987854710822204
695,-7.435485921693566e-05
696,-0.0019139503054767712
697,-0.0019139503054767712
698,
699,-0.0019139503054767712
700,-0.0019139503054767712
701,-0.0019139503054767712
702,-0.00024987854710822204
703,-7.435485921693566e-05
704,-7.435485921693566e-05
705,-0.0019139503054767712
706,-3.140098649670941e-05
707,-7.435485921693566e-05
708,-7.435485921693566e-05
709,-0.0019139503054767712
710,-0.00024987854710822204
711,-0.0019139503054767712
712,-7.435485921693566e-05
713,-0.0019139503054767712
714,-3.140098649670941e-05
715,-7.435485921693566e-05
716,-0.0019139503054767712
717,-0.0019139503054767712
718,-0.00024987854710822204
719,-7.435485921693566e-05
720,-0.0019139503054767712
721,-0.0019139503054767712
722,
723,-0.0019139503054767712
724,-0.0019139503054767712
725,-0.0019139503054767712
726,-0.00024987854710822204
727,-7.435485921693566e-05
728,-0.0019139503054767712
729,-0.0019139503054767712
730,-7.435485921693566e-05
731,-0.00024987854710822204
732,-0.0019139503054767712
733,-7.435485921693566e-05
734,-7.435485921693566e-05
735,-3.140098649670941e-05
736,-0.0019139503054767712
737,-7.435485921693566e-05
738,-0.0019139503054767712
739,-0.00024987854710822204
740,-0.0019139503054767712
741,-7.435485921693566e-05
742,-7.435485921693566e-05
743,-3.140098649670941e-05
744,-0.0019139503054767712
745,-0.0019139503054767712
746,-7.435485921693566e-05
747,-0.00024987854710822204
748,-0.0019139503054767712
749,-0.0019139503054767712
750,-0.0019139503054767712
751,
752,-0.0019139503054767712
753,-0.0019139503054767712
754,-7.435485921693566e-05
755,-0.00024987854710822204
756,-7.435485921693566e-05
757,-0.0019139503054767712
758,-7.435485921693566e-05
759,-3.140098649670941e-05
760,-7.435485921693566e-05
761,-0.0019139503054767712
762,-0.0019139503054767712
763,-0.00024987854710822204
764,-7.435485921693566e-05
765,-0.0019139503054767712
766,-7.435485921693566e-05
767,-3.140098649670941e-05
768,-7.435485921693566e-05
769,-7.435485921693566e-05
770,-7.435485921693566e-05
771,-9.308945548788597e-06
772,-7.435485921693566e-05
773,-7.435485921693566e-05
774,-0.0019139503054767712
775,-3.140098649670941e-05
776,-7.435485921693566e-05
777,-7.435485921693566e-05
778,-7.435485921693566e-05
779,-9.308945548788597e-06
780,-7.435485921693566e-05
781,-0.0019139503054767712
782,-7.435485921693566e-05
783,-3.140098649670941e-05
784,-7.435485921693566e-05
785,-0.0019139503054767712
786,-0.0019139503054767712
787,-0.00024987854710822204
788,-7.435485921693566e-05
789,-0.0019139503054767712
790,-7.435485921693566e-05
791,-3.140098649670941e-05
792,-0.0019139503054767712
793,-0.0019139503054767712
794,-7.435485921693566e-05
795,-0.00024987854710822204
796,-0.0019139503054767712
797,-0.0019139503054767712
798,-0.0019139503054767712
799,
800,-0.0019139503054767712
801,-0.0019139503054767712
802,-7.435485921693566e-05
803,-0.00024987854710822204
804,-0.0019139503054767712
805,-7.435485921693566e-05
806,-7.435485921693566e-05
807,-3.140098649670941e-05
808,-0.0019139503054767712
809,-7.435485921693566e-05
810,-0.0019139503054767712
811,-0.00024987854710822204
812,-0.0019139503054767712
813,-7.435485921693566e-05
814,-7.435485921693566e-05
815,-3.140098649670941e-05
816,-0.0019139503054767712
817,-0.0019139503054767712
818,-7.435485921693566e-05
819,-0.00024987854710822204
820,-0.0019139503054767712
821,-0.0019139503054767712
822,-0.0019139503054767712
823,
824,-0.0019139503054767712
825,-0.0019139503054767712
826,-7.435485921693566e-05
827,-0.00024987854710822204
828,-0.0019139503054767712
829,-0.0019139503054767712
830,-0.0019139503054767712
831,-0.00024987854710822204
832,-0.0019139503054767712
833,-7.435485921693566e-05
834,-0.0019139503054767712
835,-3.140098649670941e-05
836,-7.435485921693566e-05
837,-7.435485921693566e-05
838,-0.0019139503054767712
839,-0.00024987854710822204
840,-0.0019139503054767712
841,-7.435485921693566e-05
842,-0.0019139503054767712
843,
844,-0.0019139503054767712
845,-0.0019139503054767712
846,-0.0019139503054767712
847,-0.00024987854710822204
848,-7.435485921693566e-05
849,-0.0019139503054767712
850,-0.0019139503054767712
851,
852,-0.0019139503054767712
853,-0.0019139503054767712
854,-0.0019139503054767712
855,-0.00024987854710822204
856,-0.0019139503054767712
857,-0.0019139503054767712
858,-7.435485921693566e-05
859,-3.140098649670941e-05
860,-7.435485921693566e-05
861,-0.0019139503054767712
862,-7.435485921693566e-05
863,-0.00024987854710822204
864,-0.0019139503054767712
865,-0.0019139503054767712
866,-7.435485921693566e-05
867,-3.140098649670941e-05
868,-0.0019139503054767712
869,-7.435485921693566e-05
870,-7.435485921693566e-05
871,-9.308945548788597e-06
872,-7.435485921693566e-05
873,-7.435485921693566e-05
874,-7.435485921693566e-05
875,-3.140098649670941e-05
876,-0.0019139503054767712
877,-7.435485921693566e-05
878,-7.435485921693566e-05
879,-0.00024987854710822204
880,-0.0019139503054767712
881,-0.0019139503054767712
882,-7.435485921693566e-05
883,-3.140098649670941e-05
884,-7.435485921693566e-05
885,-0.0019139503054767712
886,-7.435485921693566e-05
887,-0.00024987854710822204
888,-0.0019139503054767712
889,-0.0019139503054767712
890,-7.435485921693566e-05
891,
892,-0.0019139503054767712
893,-0.0019139503054767712
894,-0.0019139503054767712
895,-0.00024987854710822204
896,-7.435485921693566e-05
897,-0.0019139503054767712
898,-0.0019139503054767712
899,
900,-0.0019139503054767712
901,-0.0019139503054767712
902,-0.0019139503054767712
903,-0.00024987854710822204
904,-0.0019139503054767712
905,-7.435485921693566e-05
906,-0.0019139503054767712
907,-3.140098649670941e-05
908,-7.435485921693566e-05
909,-7.435485921693566e-05
910,-0.0019139503054767712
911,-0.00024987854710822204
912,-0.0019139503054767712
913,-7.435485921693566e-05
914,-0.0019139503054767712
915,
916,-0.0019139503054767712
917,-0.0019139503054767712
918,-0.0019139503054767712
919,-0.00024987854710822204
920,-7.435485921693566e-05
921,-0.0019139503054767712
922,-0.0019139503054767712
923,
924,-0.0019139503054767712
925,-0.0019139503054767712
926,-0.0019139503054767712
927,-0.0019139503054767712
928,-0.0019139503054767712
929,-0.0019139503054767712
930,-0.00024987854710822204
931,-0.0019139503054767712
932,-7.435485921693566e-05
933,-7.435485921693566e-05
934,-3.140098649670941e-05
935,-0.0019139503054767712
936,-7.435485921693566e-05
937,-0.0019139503054767712
938,-0.00024987854710822204
939,-0.0019139503054767712
940,-7.435485921693566e-05
941,-0.0019139503054767712
942,
943,-0.0019139503054767712
944,-0.0019139503054767712
945,-7.435485921693566e-05
946,-0.00024987854710822204
947,-0.0019139503054767712
948,-0.0019139503054767712
949,-0.0019139503054767712
950,
951,-0.0019139503054767712
952,-0.0019139503054767712
953,-0.0019139503054767712
954,-0.00024987854710822204
955,-7.435485921693566e-05
956,-0.0019139503054767712
957,-7.435485921693566e-05
958,-3.140098649670941e-05
959,-7.435485921693566e-05
960,-0.0019139503054767712
961,-0.0019139503054767712
962,-0.00024987854710822204
963,-7.435485921693566e-05
964,-0.0019139503054767712
965,-0.0019139503054767712
966,-3.140098649670941e-05
967,-7.435485921693566e-05
968,-7.435485921693566e-05
969,-7.435485921693566e-05
970,-9.308945548788597e-06
971,-7.435485921693566e-05
972,-7.435485921693566e-05
973,-0.0019139503054767712
974,-3.140098649670941e-05
975,-7.435485921693566e-05
976,-7.435485921693566e-05
977,-0.0019139503054767712
